"metro","cbsa","TReturns13","tnew13","eitc13","eitcamt13","tchildret_13","tchildamt_13","taddchildret_13","taddchildamt_13","ttf2441_13","ttedcr_13","ttsld_13","trefund13","TREFAM13","ttbal13","ttsumbal13","ttdirdep_13","ttral_13","ttrac_13","ttself13","ttpaid13","TTtotvol13","TT1040_13","TT1040A_13","TT1040ez_13","ITIN13","ttcef13","yr13ttagi_0","yr13ttagi_5","yr13ttagi_10","yr13ttagi_15","yr13ttagi_20","yr13ttagi_25","yr13ttagi_30","yr13ttagi_35","yr13ttagi_40","yr13ttagi_50","yr13ttagi_60","yr13ttagi_75","yr13ttagi_1x","ERETURN13","ENEW13","EEIC13","EEICAM13","EQC0_13","EQC0AMT_13","EQC1_13","EQC1AMT_13","EQC2_13","EQC2AMT_13","EQC3_13","EQC3AMT_13","ECTC13","ECTCAM13","EACTC13","EACTCAM13","ECDCTC13","EEDCR13","ESLD13","EREF13","EREFAM13","EBAL13","EBALAM13","EDIRDP13","ERAL13","ERAC13","ESELF13","EPAID13","EVOL13","E1040_13","E1040A_13","E1040Z_13","ECEF13","EAGI0_13","EAGI5_13","EAGI10_13","EAGI15_13","EAGI20_13","EAGI25_13","EAGI30_13","EAGI35_13","EAGI40_13","EAGI50_13"
"Rochester, NY","=""40380""","491,370","15,050","82,402","182,986,783","70,991","89,005,859","51,026","61,923,472","19,009","34,943","56,757","389,696","931,777,762","78,625","304,420,896","312,234",0,"65,999","218,091","247,240","25,885","337,581","90,721","61,244",779,"96,981","44,438","40,968","39,874","35,463","32,781","30,077","25,808","22,688","37,024","30,931","37,241","45,329","67,012","82,402","1,431","82,402","182,986,783","20,676","5,624,296","30,611","67,453,917","20,537","70,812,427","9,900","37,993,349","21,265","15,442,478","46,722","56,542,622","4,782","3,834","5,688","79,679","315,470,436","2,524","2,203,684","70,651",0,"33,608","37,639","37,684","6,571","42,749","32,799","6,496","14,634","8,866","14,658","16,774","10,145","8,722","7,752","6,356","4,481","3,336",0
"Rockford, IL","=""40420""","152,238","5,001","31,395","78,353,746","25,966","31,626,384","24,068","33,393,464","6,407","10,092","11,810","126,896","349,042,382","18,805","68,288,951","108,401",0,"24,565","69,214","79,938","3,038","102,245","30,204","19,690","4,753","32,612","13,219","12,800","13,758","11,918","10,670","9,494","8,224","7,304","11,753","9,394","11,617","13,656","17,990","31,395",571,"31,395","78,353,746","6,509","1,727,949","11,710","26,746,036","8,668","31,783,135","4,338","17,756,040","8,259","5,906,612","19,555","25,020,897","1,907","1,362","1,345","30,668","132,592,215",692,"550,657","27,923",0,"12,114","15,214","15,324",758,"17,110","11,982","2,207","7,543","2,787","5,044","6,791","4,281","3,522","3,023","2,442","1,731","1,383",0
"Rocky Mount, NC","=""40580""","60,277","2,118","20,468","54,891,494","9,861","10,159,136","14,153","18,215,117","3,064","3,961","2,784","50,298","143,647,425","7,873","24,429,355","40,504",0,"18,985","25,662","31,422","3,190","37,767","16,520","5,963","1,595","11,846","4,511","6,166","7,397","6,191","5,277","4,593","3,893","2,956","4,311","3,286","3,556","3,774","4,275","20,468",564,"20,468","54,891,494","3,180","888,282","9,112","22,034,301","6,103","23,359,981","1,999","8,458,917","4,544","2,957,350","12,325","14,728,702","1,510","1,078",491,"20,130","86,793,384",307,"277,886","18,331",0,"12,525","8,442","11,205",790,"9,781","9,692",966,"3,338","1,296","3,460","4,878","3,213","2,430","2,007","1,628",940,489,0
"Rome, GA","=""40660""","35,692","1,376","10,450","28,619,997","6,211","6,845,437","8,431","12,161,475","1,470","2,392","2,087","29,555","85,469,501","4,870","15,752,320","24,849",0,"9,174","14,066","20,947",659,"23,613","8,061","4,000","1,638","8,649","2,759","3,538","4,051","3,439","3,096","2,409","2,151","1,759","2,469","1,916","2,223","2,479","3,285","10,450",189,"10,450","28,619,997","1,901","526,230","4,063","9,980,334","3,146","12,352,818","1,295","5,627,939","2,321","1,596,802","6,778","8,829,867",500,456,314,"10,232","44,251,573",205,"205,936","9,370",0,"5,694","4,341","5,974",93,"5,890","3,868",669,"2,832",725,"1,785","2,466","1,601","1,223",894,684,504,402,0
"Sacramento--Roseville--Arden-Arcade, CA","=""40900""","887,185","31,611","162,246","375,973,102","148,957","184,025,312","120,094","165,573,388","38,482","62,665","61,654","665,662","1,714,861,828","180,435","658,450,018","509,190",11,"107,669","410,939","453,711","22,383","597,829","175,493","112,747","28,372","224,757","63,637","66,595","71,565","63,765","55,691","49,719","45,341","40,508","68,828","57,006","68,553","83,406","151,451","162,246","4,689","162,246","375,973,102","39,854","11,161,024","57,193","128,460,974","41,130","145,121,276","23,082","89,639,325","42,068","31,337,671","93,578","120,712,166","7,248","7,439","7,285","153,288","585,777,975","8,732","8,797,907","123,435",0,"47,679","73,161","84,524","4,172","85,096","62,677","14,098","42,824","15,637","28,005","33,706","20,090","16,096","14,825","13,592","10,143","8,128",115
"Saginaw, MI","=""40980""","86,614","2,759","19,003","47,463,325","11,651","14,577,258","12,045","14,778,545","2,578","5,761","6,162","69,663","173,770,220","11,141","36,198,608","55,406",23,"14,622","34,689","48,590","3,318","57,716","18,040","10,816",108,"18,478","9,354","8,992","9,763","7,878","6,003","4,998","4,231","3,805","6,109","4,979","5,776","6,649","7,913","19,003",299,"19,003","47,463,325","4,406","1,146,313","6,929","16,439,995","5,055","19,237,904","2,545","10,511,054","3,863","2,784,031","11,362","14,005,559",525,858,916,"18,566","75,918,188",378,"279,184","16,566",15,"8,579","8,940","9,130",868,"10,088","7,489","1,379","4,570","1,798","3,690","4,828","2,701","1,752","1,373","1,114",814,724,0
"Salem, OR","=""41420""","154,963","5,989","30,761","72,781,965","27,689","34,456,258","26,700","39,463,184","6,201","10,359","13,544","120,477","296,510,960","26,590","88,897,160","91,295",0,"24,314","87,317","63,535","4,079","98,077","36,090","20,755","8,159","33,304","11,995","12,574","12,957","12,661","12,047","10,501","8,658","7,477","12,625","10,039","12,170","14,004","17,111","30,761",759,"30,761","72,781,965","6,646","1,802,254","10,473","22,877,584","8,100","27,452,340","5,475","20,503,187","8,975","6,656,170","19,234","26,260,480","1,725","1,414","1,937","29,954","122,433,328",762,"736,169","25,028",0,"11,531","18,553","11,396",739,"13,581","14,587","2,537","4,928","2,946","4,553","5,291","3,948","3,688","3,201","2,703","1,991","1,964",56
"Salinas, CA","=""41500""","170,333","7,013","34,915","85,785,488","39,239","41,119,480","46,121","77,501,986","6,410","12,045","8,493","134,627","371,693,489","27,863","130,115,228","86,341",0,"21,760","48,052","117,341","4,907","101,118","50,426","18,695","30,129","36,684","9,680","11,936","14,412","17,105","16,397","13,080","10,501","8,812","14,007","10,789","11,500","12,313","19,602","34,915","1,140","34,915","85,785,488","6,261","1,731,762","13,381","30,339,959","9,885","34,343,672","5,196","19,047,525","12,002","8,460,641","22,854","29,268,269","1,585","1,802","1,012","33,557","139,569,221","1,307","1,294,321","23,425",0,"9,033","7,813","25,999",991,"16,004","16,857","1,977","5,729","2,176","4,630","6,230","5,075","4,404","3,858","3,290","2,523","2,219",49
"Salisbury, MD-DE","=""41540""","166,037","5,104","34,218","80,145,608","22,533","25,025,220","24,171","31,285,494","6,704","9,286","8,772","130,350","334,758,274","27,791","112,341,774","101,586",0,"28,581","74,491","83,088","8,361","109,866","34,660","21,432","3,428","37,669","13,201","14,650","15,027","13,999","13,324","11,609","8,956","7,437","12,292","9,870","11,764","13,893","19,502","34,218",554,"34,218","80,145,608","8,253","2,288,908","13,289","30,615,394","8,588","31,199,328","3,767","15,415,158","8,544","5,829,684","20,451","24,961,736","2,190","1,447","1,005","33,148","136,131,664",905,"984,249","29,052",0,"15,061","17,610","14,493","1,935","16,047","15,003","3,015","5,960","3,329","5,800","7,126","4,602","4,144","3,423","2,391","1,520","1,061",0
"Salt Lake City, UT","=""41620""","457,434","19,502","78,968","182,813,635","96,616","134,704,909","77,645","127,519,427","15,629","41,225","38,703","367,516","944,143,984","76,153","312,921,999","303,483",155,"64,908","225,105","223,074","9,146","301,249","91,655","63,537","26,526","104,642","32,614","34,136","35,159","34,572","33,587","30,299","26,402","22,969","37,989","30,995","36,503","42,057","59,567","78,968","2,166","78,968","182,813,635","18,099","5,108,305","26,752","58,564,601","19,858","68,123,932","13,906","50,379,100","24,272","17,922,487","49,636","71,034,871","3,525","4,350","4,738","76,602","312,766,980","2,317","2,072,894","67,050",115,"25,500","36,636","39,902","2,325","42,010","30,617","6,187","16,076","6,528","11,985","14,473","9,255","8,710","8,151","7,242","5,725","5,956",284
"San Angelo, TX","=""41660""","48,470","1,766","11,081","26,549,624","8,577","10,879,194","7,450","9,577,557","2,143","2,812","3,322","39,991","111,697,514","6,628","58,634,882","33,689",122,"9,326","22,158","24,348","1,952","26,436","12,976","9,007",194,"10,962","3,640","4,080","4,559","4,471","4,054","3,331","2,661","2,282","3,710","2,971","3,505","3,858","4,916","11,081",148,"11,081","26,549,624","2,526","714,732","3,895","8,859,128","2,952","10,413,224","1,587","6,311,923","3,274","2,488,192","6,906","8,956,859",644,365,486,"10,806","49,469,080",243,"264,406","9,648",88,"4,522","4,826","5,782",408,"4,870","5,148",958,"1,934",910,"1,674","2,112","1,530","1,298","1,063",858,646,627,0
"San Antonio-New Braunfels, TX","=""41700""","937,700","36,908","235,563","609,029,874","170,798","204,150,040","168,851","225,115,429","44,814","68,904","78,471","784,153","2,251,422,459","127,307","603,290,046","670,061","2,038","172,924","519,058","372,393","46,064","530,623","246,481","159,758","16,270","200,453","74,019","78,989","87,676","82,293","73,988","65,201","54,823","45,745","75,441","55,706","62,963","72,225","107,646","235,563","4,304","235,563","609,029,874","46,720","13,159,379","84,005","193,106,608","67,150","247,420,264","37,085","154,109,783","66,242","48,514,423","150,709","199,992,141","12,764","10,629","10,933","228,636","1,037,199,156","6,764","5,951,860","205,119","1,624","89,907","115,786","106,200","13,231","115,158","101,672","18,420","53,580","18,405","35,770","48,127","33,300","27,832","25,000","20,446","13,959","11,185",201
"San Diego-Carlsbad, CA","=""41740""","1,337,222","49,846","241,793","547,333,471","205,934","241,932,962","175,800","231,598,955","53,446","98,395","101,711","1,007,342","2,672,556,310","264,068","1,304,559,009","798,295",38,"163,492","550,123","756,910","29,973","883,442","272,995","177,707","57,837","347,309","93,424","97,304","105,408","103,063","95,662","81,640","73,021","62,512","104,037","80,569","95,064","114,254","230,346","241,793","7,554","241,793","547,333,471","63,264","17,822,293","85,406","192,593,075","60,013","210,960,528","31,739","124,166,550","65,192","47,719,135","136,952","175,425,450","9,889","11,396","11,216","227,287","887,358,377","14,157","12,152,078","185,299",29,"66,239","88,159","145,877","7,345","127,169","93,483","20,628","61,953","22,220","40,564","48,339","29,969","25,222","23,043","21,096","15,345","13,268",291
"San Francisco-Oakland-Hayward, CA","=""41860""","1,937,484","70,609","233,748","460,368,146","235,906","277,098,852","165,504","220,656,203","82,667","124,669","123,010","1,345,588","3,720,956,391","481,034","3,280,175,657","960,784",26,"164,299","841,825","1,034,549","60,874","1,381,845","315,672","232,187","99,079","557,362","133,507","120,880","122,503","114,454","104,524","95,064","87,839","80,520","144,191","122,742","145,922","181,328","482,209","233,748","9,515","233,748","460,368,146","80,521","22,927,909","78,133","174,387,756","49,731","173,752,247","22,298","86,601,036","53,243","40,210,010","109,753","134,354,196","8,822","10,813","9,566","212,174","728,893,317","21,202","18,853,595","150,583",0,"49,315","87,282","130,402","15,396","132,263","77,260","23,657","68,965","27,843","46,343","50,511","26,318","20,755","18,796","17,530","13,215","9,564",41
"San Jose-Sunnyvale-Santa Clara, CA","=""41940""","811,869","35,790","94,156","192,023,059","115,445","134,718,296","81,538","116,484,945","37,546","54,368","38,312","569,337","1,679,125,622","201,361","1,573,173,515","416,735",0,"61,334","342,633","455,138","13,955","565,553","145,214","92,963","66,252","210,426","54,464","49,382","49,390","47,320","43,725","40,058","36,356","31,404","54,647","45,946","55,470","71,389","231,502","94,156","4,065","94,156","192,023,059","28,427","8,125,618","33,565","73,793,406","21,160","72,785,741","9,629","35,983,038","24,857","18,844,057","46,851","57,794,853","3,547","4,485","3,299","86,749","314,600,277","7,229","6,405,760","62,149",0,"16,078","29,757","61,168","2,916","48,390","36,438","9,000","23,527","10,005","17,106","18,840","10,917","9,122","8,599","7,919","5,812","4,414",24
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","=""42020""","111,353","3,526","14,962","28,925,112","15,811","19,455,321","11,371","16,144,598","3,940","7,073","6,948","77,048","183,639,911","25,809","112,586,286","55,766",0,"9,719","46,072","61,374","3,888","77,933","18,296","15,086","4,164","35,724","8,975","8,125","8,328","7,988","7,109","6,272","5,603","4,944","8,354","7,034","8,671","10,727","19,159","14,962",272,"14,962","28,925,112","4,733","1,324,103","5,210","11,314,088","3,211","10,555,365","1,515","5,446,010","4,043","3,007,769","7,520","9,195,820",706,543,676,"13,742","46,429,664","1,173","1,073,253","10,678",0,"3,413","6,999","7,258",626,"7,969","5,348","1,540","4,133","1,814","2,658","2,959","1,630","1,383","1,296","1,148",901,730,0
"Santa Cruz-Watsonville, CA","=""42100""","111,103","3,719","17,223","35,491,325","16,744","18,185,315","15,729","22,642,663","4,425","6,934","6,618","78,452","200,564,223","25,655","142,317,164","51,772",0,"10,406","44,385","64,280","2,422","73,696","22,231","15,039","9,630","33,557","8,231","8,142","8,817","8,796","7,973","6,655","5,708","4,931","8,228","6,485","7,483","8,974","20,671","17,223",417,"17,223","35,491,325","5,087","1,409,436","6,188","13,986,732","3,853","13,344,035","1,798","6,515,318","4,783","3,359,264","9,165","11,034,203",791,642,675,"15,822","55,379,187","1,362","1,202,938","10,524",0,"3,752","6,028","10,543",623,"8,749","6,729","1,697","4,164","1,818","3,031","3,500","2,165","1,759","1,508","1,307",999,850,22
"Santa Fe, NM","=""42140""","63,448","1,694","12,108","25,580,676","9,123","9,855,577","9,006","11,940,292","1,696","3,617","3,986","45,319","110,220,739","13,240","70,055,301","35,204",38,"9,008","26,894","28,920","7,634","45,910","11,125","6,343","3,234","19,148","5,819","4,738","4,993","5,052","4,918","4,436","3,660","3,153","5,147","3,789","4,436","4,948","8,351","12,108",194,"12,108","25,580,676","3,396","902,443","4,413","9,595,402","2,826","9,848,305","1,311","5,106,086","3,604","2,687,459","6,478","7,983,083",453,443,560,"11,296","42,748,364",786,"561,608","9,423",23,"4,244","4,804","5,446","1,853","7,062","4,248",755,"3,003","1,520","1,993","2,236","1,374","1,353","1,211","1,031",682,435,0
"Santa Maria-Santa Barbara, CA","=""42200""","171,413","7,253","27,192","60,546,835","30,468","33,521,426","30,753","50,188,048","6,413","10,194","9,841","126,195","325,289,740","34,587","187,554,695","87,833",0,"15,349","62,947","103,506","4,907","112,810","36,360","21,792","19,448","46,108","11,917","12,364","13,251","13,625","14,029","12,030","9,828","8,511","13,698","10,683","11,761","13,672","25,899","27,192",918,"27,192","60,546,835","6,688","1,881,561","9,704","21,520,644","6,596","22,344,864","3,821","14,077,573","8,353","6,144,722","15,728","20,407,687","1,255","1,015",959,"25,645","99,450,736","1,469","1,441,195","19,114",0,"5,632","9,426","16,612","1,010","14,606","10,262","2,169","5,738","2,378","4,270","4,942","3,238","3,074","2,690","2,416","1,887","1,582",76
"Santa Rosa, CA","=""42220""","209,082","7,140","26,076","49,451,281","31,442","37,791,747","21,997","30,449,449","7,996","13,843","11,639","147,101","354,191,646","47,736","229,621,623","103,329",0,"17,758","86,411","116,240","6,377","147,286","34,365","27,321","15,329","61,572","15,119","14,594","15,165","14,332","13,230","12,286","11,227","10,026","16,913","13,803","16,256","19,613","35,910","26,076",692,"26,076","49,451,281","8,421","2,354,098","8,959","18,792,716","5,528","17,989,643","2,691","9,675,749","7,236","5,569,330","12,724","15,684,672","1,226","1,100","1,044","23,939","82,069,497","2,039","2,069,539","17,687",0,"5,454","11,215","13,527","1,130","14,673","8,384","2,829","6,788","2,956","4,618","5,132","2,629","2,354","2,259","2,242","1,701","1,353",14
"Savannah, GA","=""42340""","147,807","4,518","40,076","103,481,768","24,118","27,765,676","28,605","37,928,410","8,300","12,175","12,578","121,915","353,158,988","21,255","80,855,374","106,690",0,"38,774","76,827","64,021","6,945","93,735","34,690","19,239","1,528","32,743","10,778","14,157","15,526","13,368","11,191","9,527","7,914","6,766","10,715","8,469","9,963","11,653","17,721","40,076",416,"40,076","103,481,768","8,220","2,341,671","15,622","37,307,865","11,353","43,741,583","4,679","19,935,084","8,690","5,830,423","25,575","32,922,635","3,025","2,490","1,945","39,177","172,001,303",857,"784,577","36,635",0,"19,931","21,714","16,003","2,341","20,171","16,975","2,886","8,235","3,100","7,312","9,215","5,890","4,454","3,721","2,850","1,870","1,318",0
"Scranton--Wilkes-Barre--Hazleton, PA","=""42540""","260,995","7,191","46,993","101,563,753","35,015","42,452,652","28,301","34,347,363","7,697","16,959","26,772","217,369","548,803,954","29,359","121,535,847","161,119",0,"37,196","114,212","142,150","4,506","162,675","59,704","38,478","1,060","47,564","27,859","23,512","22,461","20,353","18,526","16,786","14,838","12,884","20,510","15,847","18,898","21,272","26,136","46,993",812,"46,993","101,563,753","12,964","3,477,008","16,988","37,076,180","11,487","40,151,455","5,245","20,151,633","11,560","8,343,815","25,628","30,999,013","2,374","2,379","3,045","45,623","189,015,817","1,234","1,131,636","38,987",0,"17,810","21,033","24,945",718,"23,251","18,812","4,728","7,795","5,663","8,156","9,536","5,863","4,772","4,297","3,561","2,555","2,001",0
"Seattle-Tacoma-Bellevue, WA","=""42660""","1,584,825","54,917","199,428","410,270,673","237,145","297,279,509","140,518","193,514,667","62,295","108,396","142,230","1,218,464","3,161,656,387","297,947","1,657,747,116","1,012,763",15,"160,561","928,842","613,384","42,383","1,016,709","305,443","258,515","45,459","349,531","108,044","98,054","96,732","94,167","91,605","88,566","81,412","74,832","128,929","104,572","128,251","159,998","328,189","199,428","5,310","199,428","410,270,673","56,982","15,672,727","68,441","145,198,841","46,172","152,869,534","25,334","94,304,782","56,317","43,287,172","105,598","136,707,596","9,939","9,572","11,882","190,043","741,578,785","9,090","9,151,020","163,363",13,"52,302","110,380","79,016","9,448","91,182","85,173","22,502","39,810","22,412","33,696","37,852","21,395","19,583","19,312","17,976","13,649","11,121",82
"Sebastian-Vero Beach, FL","=""42680""","61,293","1,646","12,492","30,191,606","7,226","7,993,581","8,220","10,636,240","2,198","2,750","2,508","44,410","123,505,089","11,411","77,931,840","35,335",0,"6,919","27,436","32,367","1,428","40,211","13,235","7,768","1,217","17,008","5,370","5,076","5,893","5,406","4,685","3,978","3,313","2,756","4,322","3,472","4,106","4,709","8,081","12,492",201,"12,492","30,191,606","3,091","870,810","4,822","11,577,197","3,125","12,046,891","1,307","5,465,921","2,912","2,064,580","7,032","8,904,829",799,412,385,"11,971","49,906,901",492,"479,352","10,444",0,"4,013","5,988","6,264",195,"6,260","4,989","1,184","3,183","1,166","2,060","2,856","1,874","1,266","1,123",861,599,457,0
"Sebring, FL","=""42700""","37,051",971,"10,105","26,422,396","4,431","4,527,259","7,055","9,455,599","1,328","1,507","1,468","29,206","81,811,457","5,007","14,603,829","23,976",11,"5,600","17,923","17,332","1,780","21,973","10,660","4,355",838,"8,217","3,181","3,843","4,561","4,073","3,445","2,717","2,234","1,702","2,562","2,025","2,179","2,220","2,310","10,105",160,"10,105","26,422,396","2,355","679,293","3,724","9,232,637","2,793","11,132,744","1,206","5,342,061","2,149","1,406,617","6,212","8,081,981",585,349,433,"9,850","44,080,511",227,"187,285","8,737",0,"3,570","5,726","4,222",133,"4,380","4,837",875,"2,279",761,"1,829","2,366","1,648","1,182",832,691,371,310,0
"Sheboygan, WI","=""43100""","55,486","1,717","7,358","14,787,111","9,242","12,949,712","5,031","7,042,627","1,841","3,972","4,972","43,795","100,845,794","8,269","30,014,901","32,902",20,"5,401","25,528","28,590","1,343","37,128","10,348","7,961",694,"11,168","5,171","4,710","4,124","3,586","3,200","3,054","2,859","2,766","4,693","3,950","4,881","5,953","6,383","7,358",68,"7,358","14,787,111","2,073","552,548","2,524","5,287,917","1,624","5,275,472","1,056","3,542,766","2,136","1,691,997","3,907","5,116,201",294,304,493,"7,118","27,068,338",186,"182,929","6,040",12,"2,075","3,708","3,351",268,"3,451","3,186",681,"1,237",839,"1,222","1,412",762,624,622,611,492,468,0
"Sherman-Denison, TX","=""43300""","49,127","1,735","11,335","28,025,855","8,509","10,213,960","8,511","11,576,527","1,761","2,727","2,775","40,332","111,071,075","6,696","24,335,842","33,519",11,"9,247","24,378","23,765",967,"28,609","12,447","8,071","1,507","12,119","4,190","4,185","4,533","4,358","3,857","3,423","2,935","2,453","3,792","2,982","3,563","3,922","4,890","11,335",130,"11,335","28,025,855","2,387","665,564","4,220","9,607,612","3,173","11,558,945","1,548","6,174,755","3,201","2,327,932","7,096","9,204,465",564,303,384,"11,010","48,418,852",277,"285,637","9,865",0,"4,796","5,637","5,529",126,"5,182","5,170",965,"2,431",979,"1,723","2,250","1,599","1,255","1,164",911,676,576,0
"Shreveport-Bossier City, LA","=""43340""","179,164","5,125","55,019","151,753,459","30,072","33,235,733","38,749","47,666,821","10,299","12,076","11,201","149,274","469,458,080","23,768","109,271,658","127,510","1,181","56,141","77,789","95,574","5,620","115,130","43,521","20,428","1,117","51,605","12,028","16,585","19,976","18,569","14,881","11,913","9,737","8,433","13,392","9,956","11,516","13,098","18,581","55,019",880,"55,019","151,753,459","8,657","2,421,109","23,076","56,155,420","17,368","68,574,052","5,532","23,939,435","11,915","7,958,114","35,795","43,939,874","3,936","2,565","1,830","54,237","246,483,189",668,"641,743","50,342","1,097","32,262","23,139","30,542","1,180","27,808","24,125","2,919","12,301","3,673","9,251","12,979","9,384","6,509","4,849","3,686","2,372","1,481",0
"Sierra Vista-Douglas, AZ","=""43420""","48,394","1,433","12,439","32,927,518","8,097","10,070,810","8,972","12,375,503","1,452","3,222","3,171","38,073","106,961,415","7,675","22,180,223","32,209",0,"7,825","24,158","20,274","3,935","33,822","9,860","4,705",547,"10,254","3,797","4,092","5,047","4,333","3,577","2,981","2,593","2,206","3,471","2,898","3,592","4,529","5,078","12,439",232,"12,439","32,927,518","2,489","692,506","4,292","10,111,568","3,442","13,108,110","2,124","8,877,353","3,056","2,167,124","8,081","10,984,210",385,377,487,"12,068","52,441,216",301,"228,829","10,514",0,"4,378","6,788","4,585","1,001","7,019","4,689",635,"2,501","1,007","1,942","2,821","1,853","1,285","1,049",903,644,540,0
"Sioux City, IA-NE-SD","=""43580""","74,952","2,713","14,788","35,082,247","14,413","19,288,832","10,793","14,550,620","4,731","4,970","7,951","59,914","161,710,906","11,992","74,156,023","50,034",0,"10,807","19,786","53,796","1,276","50,710","14,638","9,550","1,345","19,318","5,897","6,380","5,809","5,684","5,305","5,127","4,365","3,704","6,150","4,805","5,998","6,665","8,502","14,788",246,"14,788","35,082,247","2,840","795,716","5,334","11,710,649","3,781","12,678,582","2,426","9,103,815","4,646","3,510,643","9,250","12,306,613","1,190",398,931,"14,349","65,226,747",288,"405,879","12,849",0,"5,367","4,002","10,167",433,"7,746","6,023",805,"2,455","1,118","2,123","2,425","1,843","1,640","1,572","1,220",834,848,0
"Sioux Falls, SD","=""43620""","119,022","3,887","17,761","37,167,012","21,566","30,270,538","12,030","16,033,905","9,916","9,723","18,140","94,039","231,156,508","20,061","132,332,073","79,184",11,"10,761","57,560","58,389","2,976","70,073","27,944","20,928",555,"29,644","9,692","9,190","7,700","7,587","7,802","8,122","7,424","6,450","9,698","7,761","9,612","11,916","15,636","17,761",337,"17,761","37,167,012","4,384","1,220,179","6,467","13,464,108","4,298","13,670,726","2,427","8,430,143","5,489","4,311,762","10,235","13,577,668","1,977",988,"1,802","17,274","74,669,269",381,"483,177","15,337",0,"4,658","9,579","7,599",469,"7,034","8,745","1,834","2,835","1,761","2,717","2,870","1,767","1,818","1,869","1,707","1,295","1,034",12
"South Bend-Mishawaka, IN-MI","=""43780""","139,111","4,821","29,818","73,570,967","22,004","27,765,178","20,852","28,042,686","4,903","8,935","11,765","114,028","296,415,376","17,328","76,748,010","93,917",0,"23,910","74,797","60,080","4,218","83,744","34,114","20,639","2,163","27,138","14,304","13,426","13,475","11,192","10,019","8,947","7,631","6,575","10,557","8,487","9,752","10,738","13,668","29,818",473,"29,818","73,570,967","6,728","1,834,066","10,572","24,199,560","8,155","30,157,137","4,249","17,172,918","7,363","5,411,456","18,037","23,301,030","1,271","1,305","1,636","29,129","125,425,998",647,"572,011","26,375",0,"12,298","17,727","11,307",716,"13,822","13,389","2,560","5,590","2,866","5,138","6,652","3,991","3,054","2,609","2,158","1,585","1,452",0
"Spartanburg, SC","=""43900""","126,993","4,363","33,150","83,167,790","22,788","26,512,547","23,676","30,985,462","6,126","7,862","8,339","101,429","258,213,655","21,226","66,076,563","81,720",439,"28,373","52,631","71,700","2,590","80,636","29,978","16,299","1,832","25,155","10,542","11,630","12,357","10,868","10,218","9,025","7,690","6,431","10,069","7,651","8,646","9,482","11,763","33,150",452,"33,150","83,167,790","6,325","1,738,745","13,055","30,103,392","9,266","33,709,307","4,264","17,157,309","8,856","6,333,647","20,893","26,261,190","1,924","1,343","1,168","32,240","131,575,910",859,"757,497","28,691",393,"16,400","12,806","19,626",574,"18,203","12,686","2,157","6,276","2,657","5,182","6,565","4,650","4,046","3,417","2,704","1,848","1,521",0
"Spokane-Spokane Valley, WA","=""44060""","220,680","6,667","41,633","91,296,741","36,413","47,185,693","26,603","35,247,411","8,037","14,430","21,397","175,784","432,630,644","33,860","124,614,452","146,453",0,"26,117","128,561","86,604","5,401","129,176","53,889","37,476",595,"48,532","18,273","17,512","17,986","17,552","16,208","14,271","12,423","10,583","17,552","14,402","17,090","20,086","25,823","41,633",465,"41,633","91,296,741","10,578","2,849,113","14,469","31,016,436","10,018","33,421,336","6,154","23,197,150","11,668","8,735,011","23,627","30,878,400","2,072","1,609","2,988","40,265","160,389,669","1,238","1,256,499","35,541",0,"12,336","25,243","15,015","1,140","17,527","19,659","4,217","7,514","4,684","6,546","7,397","4,846","4,371","3,992","3,544","2,556","2,432",23
"Springfield, IL","=""44100""","100,798","2,549","17,442","41,424,187","15,264","19,019,275","11,234","13,740,337","5,488","6,691","8,897","80,348","205,630,909","16,026","70,337,691","67,303",0,"14,746","50,363","48,073","2,279","67,234","20,130","13,361",123,"22,608","8,423","7,806","7,879","7,206","6,576","5,442","4,697","4,191","7,399","6,359","7,881","10,331","16,511","17,442",198,"17,442","41,424,187","4,128","1,117,958","6,662","15,157,623","4,502","16,641,057","2,025","8,308,544","4,368","3,079,585","10,407","12,671,677","1,164",661,874,"17,021","71,200,389",327,"333,829","15,439",0,"7,682","9,055","7,826",487,"9,045","6,984","1,345","3,226","1,693","3,164","3,774","2,306","1,935","1,494","1,173",735,521,0
"Springfield, MA","=""44140""","272,046","8,676","49,309","110,014,831","39,556","47,200,204","30,590","36,284,395","11,368","20,383","25,314","219,987","561,473,658","40,075","154,162,648","160,672",0,"39,970","119,419","144,576","7,905","180,210","54,298","36,214",722,"55,324","24,116","23,258","22,288","19,744","17,782","15,894","14,708","12,862","21,513","17,808","20,725","24,079","36,808","49,309","1,067","49,309","110,014,831","11,963","3,296,274","18,398","40,130,927","12,765","44,274,126","5,678","21,609,107","12,434","9,016,780","27,922","33,026,301","2,782","2,314","2,509","47,629","192,996,230","1,532","1,394,657","39,482",0,"19,068","23,775","23,424","1,906","24,154","21,042","3,904","8,169","5,722","8,845","9,874","6,020","5,222","4,463","3,877","2,449","1,637",0
